"country","day_in_year","trousers","skirts","blouses","sale","avg_price","last_product_price","cluster"
"29",133,0,2,0,0,52,52,1
"29",213,0,9,0,0,52.4444444444444,48,2
"29",112,1,0,0,0,28,28,1
"29",107,2,2,0,0,54.75,62,1
"29",176,1,0,0,0,38,38,2
"36",204,0,6,7,1,41.7857142857143,52,2
"29",187,2,0,2,0,34,23,2
"29",150,0,0,0,3,48.6666666666667,65,1
"29",183,0,3,0,0,62,57,2
"29",199,5,0,2,0,44.2857142857143,38,2
"29",191,0,0,0,10,39.5,38,2
"29",100,0,0,4,2,39.6666666666667,48,1
"29",116,3,0,0,0,49.3333333333333,43,1
"29",181,4,0,0,3,49.1428571428571,33,2
"16",130,18,1,0,0,54.1052631578947,72,3
"29",148,0,10,0,6,43.625,38,1
"29",93,2,1,0,0,51.6666666666667,33,1
"29",214,0,0,1,2,39.6666666666667,48,2
"29",224,2,0,0,0,35.5,43,2
"29",103,4,0,0,4,39.75,33,1
"16",154,2,3,5,0,46.6,72,3
"29",110,0,1,0,0,57,57,1
"29",152,4,1,0,0,47.6,43,1
"29",198,0,0,3,2,34,23,2
"29",191,3,3,0,4,42.7,52,2
"29",98,1,0,3,2,42,28,1
"29",121,0,3,0,0,38,38,1
"29",139,0,2,0,0,52,52,1
"29",186,4,0,0,5,42.7777777777778,62,2
"29",129,10,0,6,12,41.0357142857143,48,1
"46",97,0,1,0,0,57,57,1
"29",103,1,5,1,4,42.2727272727273,38,1
"9",105,1,0,5,0,45.3333333333333,72,3
"29",94,6,9,1,4,43.9,48,1
"29",93,2,1,2,5,41,48,1
"29",144,1,0,0,0,38,38,1
"29",142,0,5,3,0,45.625,38,1
"29",94,0,6,0,0,46.6666666666667,38,1
"46",101,0,1,0,0,38,38,1
"29",205,2,0,1,2,42.8,28,2
"29",114,0,11,0,0,48.4545454545455,48,1
"29",198,3,9,0,0,46.4166666666667,38,2
"29",215,0,1,0,0,38,38,2
"29",96,0,2,0,0,54.5,57,1
"29",194,5,0,0,0,46.8,43,2
"24",99,1,0,0,0,43,43,1
"41",161,4,2,0,0,52.3333333333333,57,3
"29",130,0,2,0,0,50,62,1
"29",108,5,1,4,0,46.3,28,1
"29",156,1,0,0,0,38,38,2
"29",186,0,0,1,0,33,33,2
"29",191,0,0,2,0,35,20,2
"29",116,2,0,0,1,41.3333333333333,38,1
"29",154,2,1,0,2,44.6,43,2
"29",206,0,0,0,2,35.5,43,2
"9",146,1,0,0,0,62,62,3
"29",151,1,0,0,0,38,38,1
"29",140,2,0,1,0,47.6666666666667,48,1
"29",134,1,0,3,0,46.5,57,1
"29",197,1,0,0,0,33,33,2
"24",93,0,2,0,0,57,57,1
"29",186,0,0,0,2,38,38,2
"46",125,0,1,0,0,57,57,3
"29",183,3,0,0,1,41,43,2
"29",125,1,0,0,0,28,28,1
"29",212,1,0,3,1,40,43,2
"29",155,2,1,0,0,42.6666666666667,33,2
"29",164,3,0,1,0,48.75,62,2
"44",187,3,0,0,0,47.6666666666667,43,2
"29",93,0,0,0,1,33,33,1
"29",97,0,0,0,1,33,33,1
"29",126,0,1,0,0,62,62,1
"29",205,7,12,0,3,48.6363636363636,52,2
"9",156,4,14,12,0,45.4666666666667,50,3
"10",168,6,0,0,0,55.8333333333333,43,2
"29",97,2,0,0,1,44.3333333333333,62,1
"9",128,2,0,0,0,52.5,62,3
"29",197,4,4,3,2,44.9230769230769,28,2
"29",225,1,9,0,0,57.7,67,2
"29",212,3,0,0,0,42.6666666666667,62,2
"44",204,3,5,1,4,47.5384615384615,62,2
"29",115,0,0,2,0,55,33,1
"9",157,2,0,0,0,47.5,62,3
"29",206,0,4,0,2,46,43,2
"29",182,2,4,5,8,39.8947368421053,33,2
"29",112,2,2,0,2,49.1666666666667,43,1
"29",146,5,13,7,0,47.72,62,1
"29",203,0,0,0,3,36.3333333333333,33,2
"29",171,0,1,0,0,38,38,2
"29",141,1,0,0,0,33,33,1
"29",206,0,0,10,0,37.5,23,2
"29",118,3,0,0,0,31.3333333333333,33,1
"29",161,0,0,3,3,35.5,43,2
"29",139,2,10,0,0,51.9166666666667,43,1
"29",207,1,0,2,2,37,33,2
"29",109,5,0,1,0,45.1666666666667,23,1
"44",92,1,0,0,0,43,43,1
"29",128,1,1,2,2,40.3333333333333,33,1
"29",181,0,0,13,8,37.0476190476191,48,2
"29",206,6,0,0,0,51,38,2
"29",138,1,0,2,1,36.75,38,1
"29",156,0,0,0,2,40.5,43,2
"29",174,0,1,0,0,52,52,2
"29",171,1,1,0,0,35.5,33,2
"29",217,0,0,2,3,36.4,20,2
"29",176,1,0,0,2,42.6666666666667,62,2
"9",223,6,0,6,0,45.0833333333333,57,3
"29",194,5,1,0,0,48,43,2
"29",163,0,3,1,0,49,38,2
"29",104,3,1,0,0,46.5,38,1
"29",110,11,13,7,0,45.3225806451613,48,1
"9",140,0,7,0,0,55.1428571428571,62,3
"29",92,0,0,1,1,35.5,28,1
"29",194,0,3,0,2,44.6,52,2
"29",99,0,2,1,2,40.6,28,1
"29",201,2,0,2,0,52.75,48,2
"29",154,1,2,0,0,46,38,2
"9",157,0,3,0,0,49,57,3
"16",106,0,6,0,0,55.5,57,1
"9",133,1,4,0,0,46.6,43,3
"24",196,0,1,2,0,44.3333333333333,38,2
"29",183,0,0,4,0,25.5,26,2
"29",196,0,3,7,2,40.4166666666667,52,2
"29",95,11,6,6,14,42.7027027027027,33,1
"29",129,8,1,0,4,39.3076923076923,38,1
"29",158,0,2,0,0,52,52,2
"9",184,1,0,0,0,62,62,3
"29",207,0,8,5,2,40.9333333333333,28,2
"29",116,14,7,0,1,45.1363636363636,38,1
"29",205,3,2,2,0,53.7142857142857,38,2
"29",174,0,2,4,0,44.8333333333333,52,2
"29",214,0,1,0,0,57,57,2
"29",148,6,0,7,5,44.1111111111111,48,1
"29",100,11,0,0,0,51.0909090909091,62,1
"21",119,2,0,0,0,62,62,1
"29",159,2,5,0,6,41.6153846153846,38,2
"29",138,1,2,0,0,55.6666666666667,38,1
"29",105,0,5,0,0,54.4,62,1
"29",114,2,1,0,0,46,38,1
"29",180,0,6,0,0,55.6666666666667,57,2
"29",107,5,0,0,0,49.8,38,1
"29",133,0,0,1,2,36.3333333333333,48,1
"29",184,1,0,0,0,28,28,2
"28",143,0,1,0,0,38,38,3
"29",136,0,0,2,1,41,33,1
"29",97,4,3,0,0,50.2857142857143,38,1
"29",190,0,4,0,0,45.25,43,2
"46",93,4,0,1,0,47.6,62,1
"29",119,0,0,3,0,49.3333333333333,57,1
"29",138,0,0,6,0,37.1666666666667,28,1
"29",104,1,0,0,0,38,38,1
"29",169,0,0,1,1,28,28,2
"41",191,2,0,0,0,57.5,43,2
"29",115,8,4,6,0,40.6111111111111,23,1
"46",99,1,0,0,0,43,43,1
"29",193,1,0,1,0,45.5,48,2
"29",108,0,0,0,1,38,38,1
"29",182,1,0,2,1,31,18,2
"29",191,0,3,0,0,62,57,2
"29",185,0,0,4,0,35.5,48,2
"29",191,0,5,0,0,54.4,62,2
"29",204,2,1,0,4,47,28,2
"29",143,0,5,0,0,56.4,67,1
"24",177,1,0,0,0,62,62,2
"29",106,0,0,1,4,38,48,1
"29",194,1,0,0,23,37.0416666666667,38,2
"29",173,0,0,1,0,48,48,2
"29",133,3,0,2,1,34.6666666666667,28,1
"29",190,0,0,0,1,28,28,2
"29",105,3,0,0,0,46,72,1
"29",98,7,3,1,5,43.6875,38,1
"29",107,1,0,0,0,38,38,1
"29",117,3,0,0,0,44.3333333333333,62,1
"9",98,10,1,13,0,47.5416666666667,38,3
"29",106,0,0,0,1,38,38,1
"9",126,3,0,0,0,53.3333333333333,62,3
"29",95,1,0,0,1,28,28,1
"29",144,0,6,0,0,52.1666666666667,52,1
"29",92,3,0,1,3,37.2857142857143,38,1
"29",132,5,1,3,2,37,23,1
"29",127,0,11,2,1,45.5,57,1
"16",102,0,0,0,1,48,48,1
"29",98,0,5,15,2,43.5454545454545,38,1
"9",212,4,3,0,0,57.2857142857143,52,3
"29",186,2,2,0,5,38.3333333333333,48,2
"10",124,0,1,4,1,37.1666666666667,38,1
"34",93,2,0,0,0,52.5,43,1
"29",128,0,0,0,5,43.4,65,1
"9",217,5,0,0,0,38.8,38,3
"29",157,0,4,1,0,51.6,48,2
"29",133,0,11,57,53,39.8512396694215,33,1
"29",110,2,0,2,0,44,62,1
"29",147,4,0,0,0,49,43,1
"29",205,1,0,0,2,38,33,2
"29",163,1,1,0,0,50,57,2
"9",152,0,0,1,0,33,33,3
"29",111,2,0,0,2,31.75,38,1
"29",195,3,0,0,0,56,82,2
"29",144,0,0,3,3,37.3333333333333,33,1
"29",121,2,1,1,0,51.25,57,1
"29",195,4,4,0,2,42.6,23,2
