country,day_in_year,trousers,skirts,blouses,sale,avg_price,last_product_price
29,92,2,3,2,2,42.111111111111114,48
29,92,2,5,0,3,50.0,43
21,92,0,1,4,1,42.166666666666664,43
21,92,2,0,2,0,45.25,33
9,92,0,0,1,0,57.0,57
9,92,0,2,3,0,42.8,57
29,92,1,1,1,8,37.81818181818182,52
9,92,0,2,7,0,37.888888888888886,57
29,92,2,1,0,0,41.0,57
16,92,1,4,0,0,45.4,38
9,92,1,0,0,0,72.0,72
29,92,0,5,1,1,50.142857142857146,33
38,92,3,0,0,0,38.0,43
9,92,1,0,0,0,43.0,43
21,92,3,15,7,0,47.52,52
29,92,0,0,0,2,30.5,33
9,92,1,3,3,0,38.57142857142857,38
9,92,10,0,1,0,49.45454545454545,48
29,92,1,0,3,1,39.0,33
29,92,2,0,0,1,36.333333333333336,38
29,92,0,3,2,2,40.714285714285715,38
9,92,4,0,0,0,44.0,38
29,92,1,1,0,1,41.0,33
29,92,0,4,1,1,42.666666666666664,38
9,92,0,1,1,0,43.0,48
29,92,2,0,0,0,50.0,38
9,92,1,1,3,0,46.8,48
29,92,3,0,1,2,42.5,65
29,92,3,0,0,0,44.333333333333336,43
29,92,5,2,4,0,39.72727272727273,33
29,92,2,4,6,0,44.25,48
29,92,2,0,0,1,38.0,33
29,92,6,1,0,14,41.61904761904762,38
24,92,0,1,1,0,52.5,57
24,92,4,1,0,0,50.4,62
29,92,0,0,0,2,33.0,33
29,92,3,3,0,1,48.857142857142854,38
29,92,2,0,0,2,45.25,43
41,92,1,0,1,0,38.0,28
9,92,5,2,0,0,48.42857142857143,33
9,92,2,0,0,0,30.5,33
29,92,1,0,0,0,43.0,43
9,92,0,23,0,0,52.869565217391305,38
9,92,2,6,3,0,50.63636363636363,33
12,92,3,0,0,0,43.666666666666664,60
9,92,1,0,0,0,62.0,62
29,92,0,3,0,2,46.6,33
29,92,1,0,0,2,38.0,38
9,92,18,5,18,0,43.53658536585366,28
29,92,0,4,0,0,48.75,38
9,92,4,0,0,0,58.5,72
38,92,2,5,0,2,42.77777777777778,38
9,92,3,0,0,0,38.0,43
29,92,0,0,0,4,46.0,65
29,92,0,0,4,4,39.875,48
29,92,4,3,1,1,40.77777777777778,23
41,92,0,0,0,3,33.0,28
29,92,4,0,0,2,50.166666666666664,33
24,92,0,0,2,0,55.0,55
